,Author,Text
10,Graehamkracker,"""Probably just the rabbit then"" Bendron answers his own question as he slowly reaches for the meager feast, watching The wolf for any reactions"
11,RealZachKraus,"Chadwick eyes the wolf uneasily. ""What kind of wolf gives up a kill? And in these storms? I smell shenanigans.""He peers out of the cave, checking for a sign of what brought the beast to their location."
12,Dragodar,"The wolf watches Bendron closely. As soon as the dwarf grasps the rabbit, the wolf spins around and darts out of the cave. Chadwick follows the creature to the mouth of the cave and peers out after it. The wolf has already disappeared into the night without a trace, but while standing near the entrance, Chadwick notices that the storm seems to be letting up, just barely. It is still violently raining and there are still brilliant flashes of lightning, but the thunder seems slightly further away, and the delay between lightning and thunder tells the paladin that perhaps the storm is redirecting its fury away from their location."
13,Graehamkracker,"""Huh. Weird."" the dwarf says, and leaves his pondering at that. He preps a small spot and the rabbit for roasting."
14,RealZachKraus,"Chad strains his eyes through the rain, trying to find the rest of the pack. ""You think the poor bastard got lost?"""
15,Graehamkracker,"""I thought you paladins were supposed to believe in a higher power's intercession ."""
16,RealZachKraus,"""I believe there's no such thing as a free lunch, half-man,"" Chadwick spat, not taking his eyes off the surrounding forest."
17,Dragodar,"The savory fragrance of the rabbit meat over the fire causes the party's stomachs to grumble. What little fat was on the wild hare drips into the fire, sizzling beautifully and releasing a delectable smell. Soon, the rabbit is fully cooked, and Bendron pulls the skewer from over the fire. All eight eyes in the cave stare longingly at it, and everyone is thinking the same thing.Just as the realization that one rabbit will not be nearly enough for all of them settles upon the group, the foliage is brushed aside and the same wolf enters the cave yet again. To everyone's puzzlement but also delight, it has another rabbit in its mouth this time. It trots fearlessly up to the fire and drops the carcass next to the flames. The wolf lets out another short little bark and then scurries away, leaving the party yet again."
18,Graehamkracker,"""Or our new friend is offering us something for his safety"""
19,Nightwing32193,"Gideon grabs some of the cooked rabbit and whistles after the wolf, attempting to get the beast's attention."
20,Dragodar,"After several minutes, the wolf does not return, and the party eats the rabbits in relative silence. The storm sounds significantly quieter now, though not quite gone completely. As the party finishes cleaning the meat off the rabbit bones, the foliage parts yet again, and the wolf trots inside, as wet as ever and panting slightly. This time though, there is another visitor. Behind the wolf, a small, lean humanoid figure brushes aside the curtain of plantlife and enters the cave, as dripping wet as the wolf that preceded him. Standing before the party is young boy, between the ages of 12 and 15, with curly golden locks that cascade in a messy flow down to his shoulders. He shakes his head a few times, sending water spraying from his hair, and then looks up at everyone inside the cave with a smile. His eyes are piercing golden amber color, and his youthful face bears the sharp, angular features of elfin kind."
21,ButcherDawg,"""She is over-charitable. But I trust she has good reason. Are you here to escape the rain and the wet?"""
22,BeefyChickens,"Demryon laughs. ""The rain and the wet, I guess you could say that.""He tosses his last rabbit bone into the fire and eyes the newcomer curiously.""How old are you anyway, lad? And where did you manage to get a wolf for a pet? And why, oh WHY, are you wandering about in this accursed, hellish weather?"""
23,ButcherDawg,"He laughs softly, possibly condescending, ""Her name is Lou. And I must say she is not often this friendly to strangers. Nor is she mean, mind you. Just shy, usually. I do not know how long she has known me. She dragged me out of a fire when I was an even smaller boy. Six years old, I wager. But in that fire I lost my memory. In the six years since, I have been searching with her to find my people again."""
24,Graehamkracker,"""Hmph. Welcome to the club, kid. My people don't exist anymore. And I'm sure the rest of this lot have similar stories"" "
25,ButcherDawg,"A puzzled look flashes across his face as his head *****  (tilts suddenly by bend in neck) to one side. ""But I'm sorry to hear that about your people. And who might they be?"" He poses this last sentence to the whole group."
26,Graehamkracker,"""My clan is an ancient one - the Yundri. Before the storms - however long ago that was - we lived near the surface, trading with other clans and humans. We were prosperous and powerful. But the storms came and destroyed cities, drove us deeper underground, and sealed is in our tomb. I was born down there, some 1500 years after the Storms started, and after many attempts to find a way out, the clan elders chose some number of us to be put into a deep sleep, hopefully to awaken once the Storms had passed and remove the clan. But when I was awoken by these adventurers, I could find none of my clanmates, or even the long since forgotten remnants of our cities. I'm not sure if anyone else survived the sleep, and if they did, they must be long gone."" Bendron finishes and grows silent, suddenly feeling the whole weight of his plight."
27,Nightwing32193,"Gideon rolls his eyes at his two new companions ""Enough with the bloody sob stories for fooks sake. Come boy, take a seat. I'm Gideon, this is Chadwick, I honestly haven't taken the time to learn the rest of their names."""
28,Graehamkracker,"""I thought you three all knew each other already. Was that not the case?"""
29,RealZachKraus,"""How have you been, brother? It's been a minute."""
30,Dragodar,"Intro:Welcome to the IC (In Character) Thread for your new adventure, The Storm on the Horizon.Let me start by introducing our party:Nightwing32193 will be playing Gideon, the Human Barbarian. (""#FF0000"")RealZachKraus will be playing Chadwick, the Human Paladin. (""#0000FF"")Graehamkracker will be playing Bendron, the Dwarf Fighter. (""#8E5500"")Beefychickens will be playing Demryon, the Elf Ranger. (""#800080"")ButcherDawg will be playing Seamus, the Half-Elf Druid. (""#008000"")If you have any questions regarding the rules or game mechanics, or about how to use the website or how to post, ask them here on the OoC ThreadWhen last we left our rag tag band of adventurers, they had just defeated the ominous denizens of what seemed to be some kind of underground cultist temple. They faced a fearful enemy with unfamiliar psychological powers, but emerged victorious. Their brief companion, Jimothy the Warlock, chose to take a different route when escaping the flooding tunnels. Whether he made it out of the cave system or not, the party has no way of knowing.The powerful storms that wrack the coast have been pummeling the countryside for hours now, and the cave system was beginning to flood. The group managed to find their way out of the tunnels, and they have just arrived in a relatively dry cave with an entrance almost completely concealed by shrubbery foliage. For now, they are safe.Gideon and Chadwick are at work getting a small fire started, and converse in low murmurs of their past exploits. Bendron and Demryon seem uncertain of each other, but for the moment have no choice but to trust one another. They busy themselves with finding dry material for the fire from amongst the vegetation in the cave.The sound of thunder and rain are still deafening outside the cave, but for now our party is mostly dry and mostly warm. The smell of petrichor is heavy in the air, and the curtain of foliage at the mouth of the cave drips with long awaited rainwater. Every few seconds a brilliant flash of lightning can be seen outside the shelter, quickly followed by a tremendous crack of thunder. The loudness of the wind does not subside, making it difficult to hear normal conversation.It is late at night on Friday, Iru 5th."
31,Graehamkracker,"Bendron finishes collecting firewood, adds it to the pile, then sits with his back against the wall, so he can watch is new companions. ""We always thought that these storms would end sometime. Guess it's not that time yet... Who are the powers in these parts nowadays? And how long has it been since the storms started?"""
32,Nightwing32193,"Gideon stirs the fire and looks around at the rag tag group of adventurers. He smiles at Chadwick as he addresses the rest of the party, ""So I suppose through battle we are all aquainted, and that's a start, for myself anyways. What are your plans? Waiting out the storm? Or would you like to explore these caves further, in search of more monsters?"""
33,Graehamkracker,"""I have no where to go. These caves were home, but it seems like I have been asleep for a very long time, as everything is gone and you all found a way in. At least until I can discover what has become of the rest of my clan, I seem to be best served by remaining with you folk to get my bearings, if you'll have me, and answer some of my questions about the world as it is now."""
34,Dragodar,"The motley crew of adventurers moves closer to the newly ignited fire in the middle of the cave. They huddle close for warmth as the howling wind pummels the outside of their shelter. The soft crackle of the twigs in the fire is a comforting sound against the crash of thunder, and the faint smell of burning tinder warms the hearts of the companions gathered around it.Suddenly, the curtain of foliage shielding them from the elements rustles and shifts, and the adventurers see an unsettling sight. A huge wolf, soaking wet and holding a small dead mammal in its mouth, plods into the cave. It looks up at the group and stands very still, only its eyes moving as they dart to and fro from one adventurer to another. It makes no move to turn back to the storm outside, but also makes no advance toward the group. It holds its kill in its mouth and watches intently."
35,Graehamkracker,"Bendron takes a defensive stance, putting hand to halberd and tapping the butt to the cave floor to draw the beast's attention. He inspects the newcomer, hoping to tell if it is natural or unnatural, friend or foe. ""Anyone else hungry?"" he asks the group, eyeing the wolf's kill."
36,Dragodar,"The wolf's ears perk up at the sound of Bendron's halberd clicking on the stone ground, and it turns toward him as it's tail goes up in the air and sways from side to side. It takes two hesitant steps toward Bendron before pausing again to glance around the cave. It's tail continues to swing back and forth like an upside down pendulum."
37,RealZachKraus,"Chadwick steps up aggressively, ""I could eat."""
38,Graehamkracker,"""The wolf, or his rabbit?"""
39,Dragodar,"The wolf takes another hesitant step toward the fire and drops the rabbit on the ground. It looks up at Chadwick, then at Bendron, its tongue hanging slightly out of its mouth as it pants gently and wags its tail. It bends down and nudges the rabbit toward the group with its snout.The wolf takes a step back and then pushes its paws out in front of it and its rump in the air. It puts its snout between its forelegs and wags its tail slightly, then stands up and lets out a short bark."
40,Graehamkracker,"""Probably just the rabbit then"" Bendron answers his own question as he slowly reaches for the meager feast, watching The wolf for any reactions"
41,RealZachKraus,"Chadwick eyes the wolf uneasily. ""What kind of wolf gives up a kill? And in these storms? I smell shenanigans.""He peers out of the cave, checking for a sign of what brought the beast to their location."
42,Dragodar,"The wolf watches Bendron closely. As soon as the dwarf grasps the rabbit, the wolf spins around and darts out of the cave. Chadwick follows the creature to the mouth of the cave and peers out after it. The wolf has already disappeared into the night without a trace, but while standing near the entrance, Chadwick notices that the storm seems to be letting up, just barely. It is still violently raining and there are still brilliant flashes of lightning, but the thunder seems slightly further away, and the delay between lightning and thunder tells the paladin that perhaps the storm is redirecting its fury away from their location."
43,Graehamkracker,"""Huh. Weird."" the dwarf says, and leaves his pondering at that. He preps a small spot and the rabbit for roasting."
44,RealZachKraus,"Chad strains his eyes through the rain, trying to find the rest of the pack. ""You think the poor bastard got lost?"""
45,Graehamkracker,"""I thought you paladins were supposed to believe in a higher power's intercession ."""
46,RealZachKraus,"""I believe there's no such thing as a free lunch, half-man,"" Chadwick spat, not taking his eyes off the surrounding forest."
47,Dragodar,"The savory fragrance of the rabbit meat over the fire causes the party's stomachs to grumble. What little fat was on the wild hare drips into the fire, sizzling beautifully and releasing a delectable smell. Soon, the rabbit is fully cooked, and Bendron pulls the skewer from over the fire. All eight eyes in the cave stare longingly at it, and everyone is thinking the same thing.Just as the realization that one rabbit will not be nearly enough for all of them settles upon the group, the foliage is brushed aside and the same wolf enters the cave yet again. To everyone's puzzlement but also delight, it has another rabbit in its mouth this time. It trots fearlessly up to the fire and drops the carcass next to the flames. The wolf lets out another short little bark and then scurries away, leaving the party yet again."
48,Graehamkracker,"""Or our new friend is offering us something for his safety"""
49,Nightwing32193,"Gideon grabs some of the cooked rabbit and whistles after the wolf, attempting to get the beast's attention."
50,Dragodar,"After several minutes, the wolf does not return, and the party eats the rabbits in relative silence. The storm sounds significantly quieter now, though not quite gone completely. As the party finishes cleaning the meat off the rabbit bones, the foliage parts yet again, and the wolf trots inside, as wet as ever and panting slightly. This time though, there is another visitor. Behind the wolf, a small, lean humanoid figure brushes aside the curtain of plantlife and enters the cave, as dripping wet as the wolf that preceded him. Standing before the party is young boy, between the ages of 12 and 15, with curly golden locks that cascade in a messy flow down to his shoulders. He shakes his head a few times, sending water spraying from his hair, and then looks up at everyone inside the cave with a smile. His eyes are piercing golden amber color, and his youthful face bears the sharp, angular features of elfin kind."
51,ButcherDawg,"""She is over-charitable. But I trust she has good reason. Are you here to escape the rain and the wet?"""
52,BeefyChickens,"Demryon laughs. ""The rain and the wet, I guess you could say that.""He tosses his last rabbit bone into the fire and eyes the newcomer curiously.""How old are you anyway, lad? And where did you manage to get a wolf for a pet? And why, oh WHY, are you wandering about in this accursed, hellish weather?"""
53,ButcherDawg,"He laughs softly, possibly condescending, ""Her name is Lou. And I must say she is not often this friendly to strangers. Nor is she mean, mind you. Just shy, usually. I do not know how long she has known me. She dragged me out of a fire when I was an even smaller boy. Six years old, I wager. But in that fire I lost my memory. In the six years since, I have been searching with her to find my people again."""
54,Graehamkracker,"""Hmph. Welcome to the club, kid. My people don't exist anymore. And I'm sure the rest of this lot have similar stories"" "
55,ButcherDawg,"A puzzled look flashes across his face as his head *****  (tilts suddenly by bend in neck) to one side. ""But I'm sorry to hear that about your people. And who might they be?"" He poses this last sentence to the whole group."
56,Graehamkracker,"""My clan is an ancient one - the Yundri. Before the storms - however long ago that was - we lived near the surface, trading with other clans and humans. We were prosperous and powerful. But the storms came and destroyed cities, drove us deeper underground, and sealed is in our tomb. I was born down there, some 1500 years after the Storms started, and after many attempts to find a way out, the clan elders chose some number of us to be put into a deep sleep, hopefully to awaken once the Storms had passed and remove the clan. But when I was awoken by these adventurers, I could find none of my clanmates, or even the long since forgotten remnants of our cities. I'm not sure if anyone else survived the sleep, and if they did, they must be long gone."" Bendron finishes and grows silent, suddenly feeling the whole weight of his plight."
57,Nightwing32193,"Gideon rolls his eyes at his two new companions ""Enough with the bloody sob stories for fooks sake. Come boy, take a seat. I'm Gideon, this is Chadwick, I honestly haven't taken the time to learn the rest of their names."""
58,Graehamkracker,"""I thought you three all knew each other already. Was that not the case?"""
59,RealZachKraus,"""How have you been, brother? It's been a minute."""
60,Nightwing32193,"""If it pleases you sir, I'd rather not discuss personal matters in the company of folk such as this."" he nods at the others."
61,ButcherDawg,"The boy removes his pack from his shoulder, and lies beside Lou, using her back as a pillow as he awaits a story."
62,RealZachKraus,"Chadwick glances over at the fire, then back to Gideon. He lowers his voice, but still very audibly mutters, ""You mean the elf?"""
63,Nightwing32193,"Gideon looks at his former commander, then back at the fire, and says, quite audibly, ""Of course I mean the elf. And the boy who can apparently talk to wolves, dark magic that."""
64,RealZachKraus,"Chadwick swiveled swiftly towards the newest refugee, the merriment of joking with an old friend giving way to his original suspicion. ""But I suppose you conveniently don't remember that."""
65,Graehamkracker,"""Demryon here did just shoot me with an arrow, and he'd been given the benefit of a doubt before he showed us he deserved it."""
66,Dragodar,"The tension seems to be rising, as simultaneously the storm outside seems to be abating. Stormpeace is an ancient and unwritten law; it is only as strong as the storm is fierce. There are no set requirements for the observance of Stormpeace, and as the intensity of the storm outside fades, the pact between the cave's inhabitants weakens. If a diplomatic solution is not reached, the situation may quickly turn ugly for everyone involved. The wind continues to howl and rage, but the thunder seems less and less frequent. The rain is still violent, but not as torrential as before.It is late at night on Friday, Iru 5th, or early in the morning on Saturday, Iru 6th. You can't be quite sure."
67,Nightwing32193,"""And ya see that pretty gash across is belly? I have him that so I think your blood debt is paid, dwarf!"""
68,ButcherDawg,"""Have you had many adventures together?"" he asked the group, picking at a splinter in his palm."
69,Graehamkracker,"""It would be wise, boy, to at least try to answer some of our questions. But to answer yours: I just met these three. The big one and the paladin seem to get along, and no one quite knows or likes our friend the elf."""
70,BeefyChickens,"""...has no quarrels with any of you, I understand what went on down in that accursed crypt might prove otherwise... but the darkness that entered my mind... it was not me who flew that arrow."""
71,Nightwing32193,"Gideon springs from his seat drawing his shortsword, ""I've heard enough out of you half man! He is not my master! He is my brother born in battle! Something the likes of your people could never understand. Coward. We should have left you to sleep. Would have been for the better."""
72,Graehamkracker,"Bendron slowly rises in response, leaning on his halberd in an all-to easy stance. ""It seems that you know nothing of the likes of my people, and that you are too dense to learn. If I recall, we had each slain two of those beasts - seems like our skills may not be that disparate despite our different temperaments"""
73,ButcherDawg,"""My name is Seamus Olgaard. If you wish not to associate with me, just let me know. I have thicker skin than most. And I have never caught the cold."" "
74,Nightwing32193,"Gideon looks at the dwarf and let's out a long hearty laugh. ""Even if you'd have been worth my blade in your prime old man, seems that fate has brought us together. Let me be the first to extend my hand in peace."""
75,BeefyChickens,"Demryon quickly offers his hand ""Pleasure to make your acquaintance Seamus."""
76,Graehamkracker,"""Also, I'm Bendron. This one is Gideon, and the dozing paladin is Chadwick. You'll find no harm from us, so long as we none from you."""
77,Dragodar,"A somewhat stable peace seems to have been reached, and just in time. As the group tentatively shakes hands and makes introductions, the wind begins to die down. There is no lightning or thunder as far as the inhabitants of the cave can tell, but the rain continues to pour down, steadily and quietly. The storm, for now, has ended.The fire crackles with meager warmth as the new companions make each other's acquaintance. It is night time still, and everyone is tired from their ordeals.Being the only member of the party who has yet been outside the cave, you are the only one who happens to know that despite the thick curtain of foliage covering the opening, the light of the fire is visible through the vines and leaves in the dark of night. It is up to you if you share this information."
78,ButcherDawg,"""Are you planning to stay here for now? Lou and I were on our way to somewhere dryer."""
79,RealZachKraus,"""We came this way for...similar reasons."" He shrugs."
80,ButcherDawg,"""Perhaps then, we should venture out while the rain is at bay to find a new cave for shelter,""  little Seamus said looking worryingly outside."
81,Graehamkracker,"""I'm curious to see how the world is now"""
82,ButcherDawg,"""Surely, if such little things could find shelter from these terrible storms, it must be rather dry shelter."""
83,Graehamkracker,"""Rabbits dig their own homes, lad. I doubt we'd fit or be welcomed there. Mayhaps there's a town or some other refuge nearby?"""
84,Dragodar,"Listen to this as you read the following post and write your reply. linkSpotify linkAs the party debates their next course of action, a faint sound reaches their ears. At first, it is the far away sound of some kind of tribal drum. Then, the whispers begin. Soft but intensely foreboding, they send chills down the spines of the party. A slow chant takes form, growing steadily louder and faster. Terrifying ritualistic screams echo across the hills. The sound of an unholy pagan rite drowns the hills with its deeply unsettling cacophony. Maniacal female laughter rings out from several different locations outside of the cave. Through the curtain of foliage, it is difficult to pinpoint where any of the sounds are coming from, but it is apparent that the cave is surrounded by dozens if not hundreds of savages, of a tribe unknown.Screams of ecstacy mix with screams of agony as the discordant noise grows louder and more frantic. The party feels sheer terror as whatever depraved liturgy they're hearing takes place outside. Something truly evil is happening just outside their shelter.Though you cannot understand the tongue, you recognize the language as coming from a tribe of barbarians called the Niorû. They are known, even amongst barbarian tribes, as being the most savage and depraved of all savages. They worship Erythnul, the patron god of slaughter, war, chaos, depravity, and evil. Even other barbarians look upon them with fear and disgust. They are practicers of human sacrifice and are extraordinarily creative at coming up with the most vile forms of torture and murder.You feel your heart sink into you toes as you recall that the fire in the cave is visible from outside, despite the curtain of foliage.It is late at night on Friday, Iru 5th, or more likely early in the morning on Saturday, Iru 6th. Probably around 2:00 or 3:00 in the morning but you can't be sure."
85,ButcherDawg,"""This fire has clearly drawn others to this location. We are determined to find another town. If any of you wish to accompany us, you are welcome!"" Seamus makes a clicking noise with his mouth, and Lou responds by exiting the cave. Seamus follows her into the damp dawn."
86,Nightwing32193,"Gideon slowly gets to his feet. Readying his great sword. ""These savages are not to be toyed with. If you see them, kill them. They cannot be reasoned with. Pray to whatever fooking god you deem holy that they do not find us on this day."""
87,Graehamkracker,"""standard wedge, or something fancy?"""
88,Nightwing32193,"Gideon eyes his new dwarves ally and smiles, ""I admire you balls, half-man, but this is no trivial monster we face. On this day the entire nation will be out in search of blood sacrifice. If we are to live til sundown we must find a defensible area and hope their war parties pass us by."" He then ventures to the mouth of the cave and slowly peaks out, great sword at the ready, trying to get a better look at what's outside."
89,Graehamkracker,"""How far this land has fallen"" Bendron mutters under his breath, trying to remember if there were any defensible outposts in the caves nearby"
90,RealZachKraus,"B ""no offense, bud."""
91,ButcherDawg,Seamus looks at Lou for guidance.
92,Nightwing32193,"Gideon isn't paying attention to the trivial conversation of his party. His entire focus is on the chants and the war parties that have seemingly surrounded them. As he returns from the mouth of the cave he looks only slightly relived, ""They haven't found us yet. We still have time to make preparations, Chadwick and Bendron stay close to the cave entrance with me, the elf should stay back with the boy and use his now to pick off any that might get through."""
93,ButcherDawg,"Seamus reads Lou's non-expression as her stubbornness to follow her own path in conflict with her stubbornness to not die. ""Fine. We will go with you all."""
94,Dragodar,"The fire burns brightly, illuminating the cave. As Gideon looks outside, he can he pinpoints of light throughout the hills, dozens of fires burning all around them. It is still dark outside, so sneaking through may not be out of the question, but it is difficult to tell how close dawn is. The fire burns brightly, illuminating the cave."
95,Graehamkracker,"Bendron gets up and gathers his supplies, using the halberd to bury the fire under dirt from the cave floor before joining the two near the entrance. ""How well do they do in the dark? Cause I can see fine and lead us out."""
96,Nightwing32193,"""We can't rely on darkness, that will hinder us just as much if not more so. And when the sun rises we will be outnumbered 100 to 1 at least. It is better for us to stay on the defensive and not try to engage them."""
97,RealZachKraus,"Chadwick stomps the axe handle on the floor of the cave and slaps Bendron on the shoulder. ""I dare em to cross this line,"" he growls."
98,Graehamkracker,"""I've been in this cave for thousands of years. It's time to leave. Follow me with hand on shoulder and we can slip between them in the dark, then head to the nearest town. I can see where they are now - there's enough time to act still."""
99,RealZachKraus,"Chadwick chuckles, ""well if the Dwarf wants to leave the cave what the hell are we hangin around for?"""
100,Nightwing32193,"""If it should come to it remember, they attack with no formation or organization, fighting in blood rage they never surrender we will have to kil them all"""
101,BeefyChickens,"With a mischievous half smile, Demryon snickers ""I'll be more than happy to shoot some heads, I'm confident my present company feels the same!"""
102,RealZachKraus,"""There's no glory in stupidity. I'd rather see what we're up against before we go to our deaths. We have the advantage now, let's use it,"" Chadwick whispers."
103,Nightwing32193,"Gideon shakes his head and shoulders his greatsword, ""If you all wish to attempt to sneak by them so be it. I still think we should stay in this cave until sundown of this coming day. But if it should come to battle remember, we will be shown no mercy, so show none to the enemy."""
104,ButcherDawg,"Seamus awaits at the mouth of the cave, looking back and forth to the others as the debate carries on. With a slight raise of both eyebrows, he slowly turns his head and a disbelieving stare away."
105,Graehamkracker,"""We either act now or hope that they can't find this cave - not a bet I'd like to make. I'm confident that we can avoid any large groups, and quickly dispatch any that may stumble upon us - if we keep the lad towards the middle we'll have eyes and steel on all edges. And then we're free to shelter somewhere safer and warmer and can figure affairs out there."""
106,Nightwing32193," ""What is it lad?"""
107,ButcherDawg,"""Nothing. Sounds decided now. Chadwick?"""
108,RealZachKraus,"""We're not doing ourselves any favors by arguing. Lead the way, dwarf, you at least can see where we're going. Gideon, follow him and protect the boy. I'll bring up the rear in case we get ambushed. My magic should protect us for a little while if that happens."""
109,ButcherDawg,"""Don't worry about me. I am still but a stranger. Protect yourselves first."""
110,Nightwing32193,"Gideon scoffs,""Obviously."""
111,ButcherDawg,Seamus perfectly immitates Gideon's scoff and follows.
112,BeefyChickens,"Demryon glances in Seamus' direction, an eyebrow raised, then back to his front."
113,Dragodar,"The group prepares to exit the cave. Bendron takes Gideon's hand, who takes Seamus', who takes Demryon's, who takes Chadwick's, and the venture into the night. linkSpotify linkThe group heads out into the darkness, unable to see but trusting in the dwarf who leads them. Bendron carefully picks his way through the rocks and trees and underbrush, avoiding obstacles and whispering advice down the line about dips and bumps in their path. The party seems to be making good progress, but the chants and screeches all around them strike a chill into their very hearts. They are struck with a dark terror at the unholy sounds that surround them.Chadwick's Aura of courage makes him immune to fear effects and gives a +4 bonus to the rest of the party.(1d20+4)11(1d20+4)22(1d20+11)14(1d20+6)13"
114,Dragodar,"Bendron finds himself faltering. Newly awakened and grown unaccustomed to danger, the caterwauling of the savages brings flashbacks rushing into Bendron's mind. He finds himself distracted, and several times steps on twigs or kicks rocks that he otherwise could have avoided. The rest of the party is bolstered by Chadwick's powerful aura, but Bendron falls victim to the ice cold dread brought on by the evil rituals of the Niorû.Bendron is Shaken for the next ten rounds. The rest of the party is fine for now.Bendron continues to lead the party through the dark forest, avoiding the Niorû camps as best he can, but his progress is slowed by the terror that grips his heart. Sometimes he forgets to whisper advice about obstacles and someone down the line will trip or stumble, but for several minutes, all is well. Soon though, the party sees a small campfire directly ahead which Bendron seems not to notice."
115,RealZachKraus,"Chadwick hisses, ""what the hell is going on??"""
116,Nightwing32193,Gideon immediately makes an attempt to pull the dwarf in the underbrush and puts hand over the dwarf's mouth and attempts to keep him quiet.
117,Graehamkracker,"Bendron doesn't struggle, trusting that someone else saw something from behind"
118,RealZachKraus,"""Demryon, go see what's ahead,""Chadwick taps the elf on the shoulder."
119,ButcherDawg,"Seamus immediately turns to Demyron and nods as if to say ""I am going with you."""
120,BeefyChickens,"Surefooted,Demryon passes the others. His eyes focused on a distant flame. He only motions to Seamus to stay in place."
121,ButcherDawg,"Seamus looks at the others behind him and Demyron and gives them the exact same ""stay"" motion and proceeds to follow Demyron."
122,Dragodar,"The party stops and crouches low. The Niorû campfire is about twenty yards ahead. Demryon and Seamus move forward toward the fire, as stealthily as possible.Demryon:Move Silently:(1d20+11)26Hide:(1d20+11)15Seamus:Move Silently:(1d20+3)19Hide:(1d20+3)18They creep forward, slowly but steadily. Fortunately, neither is noticed. You see about half a dozen Niorû around the fire... mercilessly fighting each other to the death. Four dead Niorû lie on the ground around them. As the warriors battle each other, you can see and hear that they are laughing maniacally. These truly are a people of chaos and evil."
123,Nightwing32193,"Gideon still holding the dwarf by the mouth looks at Chadwick and and shrugs. ""Fock em."" he whispers."
